epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.8775193798449612,0.06291699604743083,0.12529644268774703,0.1,0.1
1,0.5767619047619047,0.2564976076555024,0.13205741626794257,0.2,0.2
2,0.7076363636363638,0.6177192982456141,0.27387914230019494,0.56,0.56
3,0.7259057071960298,0.6118243243243243,0.27590090090090086,0.54,0.54
4,0.7644868035190616,0.6494723294723295,0.3464178464178464,0.58,0.58
5,0.8277248677248678,0.662063492063492,0.4788359788359788,0.6,0.6
6,0.7467126436781608,0.6056432748538012,0.2665692007797271,0.52,0.52
7,0.7253779840848806,0.5936541889483066,0.3220439691027926,0.52,0.52
8,0.7223908045977011,0.5901754385964911,0.29239766081871343,0.52,0.52
9,0.7827521367521366,0.6177685843568197,0.35828485240249947,0.54,0.54
0,0.9229677419354839,0.05192387585532748,0.09577631150211795,0.06,0.06
1,0.8482341269841269,0.7505981595092025,0.3018064076346285,0.68,0.68
2,0.8246875,0.8467379679144384,0.3101604278074866,0.87,0.87
3,0.8281000000000001,0.8671204188481676,0.31762652705061084,0.91,0.91
4,0.8246875,0.8467379679144384,0.3101604278074866,0.87,0.87
5,0.8264285714285714,0.8570370370370369,0.31393298059964725,0.89,0.89
6,0.9036458333333335,0.8962032085561498,0.4839572192513369,0.91,0.91
7,0.8317204301075268,0.8407608695652173,0.3079710144927536,0.85,0.85
8,0.8264285714285714,0.8570370370370369,0.31393298059964725,0.89,0.89
9,0.8533684210526316,0.8646236559139786,0.38590203106332144,0.88,0.88
0,0.7972375776397516,0.30660961158657013,0.1552922244166484,0.215,0.215
1,0.8182821132596685,0.8213285318559557,0.3295290858725762,0.825,0.825
2,0.82089406779661,0.8148681541582151,0.32364210051836834,0.81,0.81
3,0.8104545454545454,0.8022097378277152,0.32057150783742544,0.795,0.795
4,0.8270643039824627,0.8037361111111112,0.372037037037037,0.785,0.785
5,0.8087063978965819,0.7702716671084019,0.31407368142062025,0.74,0.74
6,0.8492103235747303,0.8464489021415017,0.41565013102014997,0.85,0.85
7,0.8435621761658031,0.8529655599092595,0.364061318484911,0.88,0.88
8,0.8565625,0.8679536807278743,0.4606286186931348,0.89,0.89
9,0.8838095238095238,0.8658255159474672,0.45215759849906195,0.88,0.88
0,0.7102644534056444,0.4410342039173777,0.231394172023447,0.344,0.344
1,0.730800009218289,0.681243435124926,0.3279631062364417,0.662,0.662
2,0.775222480620155,0.1707932914160495,0.11518311912479866,0.162,0.162
3,0.7526041436237761,0.43578491887456744,0.286685887349398,0.362,0.362
4,0.785980708469514,0.6687060594237092,0.44461146491116227,0.614,0.614
5,0.8381100063503584,0.7275523539652309,0.5309338365035862,0.68,0.68
6,0.8743661276550325,0.8201306911393097,0.6663256796808866,0.798,0.798
7,0.9089166489955752,0.849749909860064,0.7213519299782526,0.83,0.83
8,0.9138933111247479,0.8802390177545842,0.7647725209980901,0.868,0.868
9,0.9188930481283423,0.8763085232096698,0.7636385820700303,0.862,0.862
0,0.6901033921302578,0.5930720521525084,0.3277665414444615,0.536,0.536
1,0.696565874088167,0.38723553919007464,0.23740972634364352,0.312,0.312
2,0.7796987329834344,0.5039463404030008,0.3506222993508581,0.429,0.429
3,0.8241710377540609,0.7720463694441415,0.5850918863389567,0.745,0.745
4,0.8873031588984255,0.8551073635281446,0.7264327419080551,0.841,0.841
5,0.9231540566959922,0.9014970843948186,0.8144666564752296,0.892,0.892
6,0.9593510843966396,0.953927204662286,0.904938122499186,0.952,0.952
7,0.9736222166296251,0.9709295386036271,0.941329107468473,0.97,0.97
8,0.9853630037313432,0.9843032746547656,0.9679938145652046,0.984,0.984
9,0.9863477385377942,0.9853442583935401,0.9695455826662753,0.985,0.985
