epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.72,0.72,0.6361746361746362,0.72,0.72
1,0.5885,0.6026199887069452,0.46357989836250707,0.62,0.62
2,0.722,0.7281084133258047,0.6329757199322417,0.74,0.74
3,0.6747950089126559,0.6537142857142858,0.5714285714285715,0.64,0.64
4,0.6747950089126559,0.6537142857142858,0.5714285714285715,0.64,0.64
5,0.6453333333333333,0.6026051560379919,0.5251017639077341,0.58,0.58
6,0.6925636672325975,0.6578676470588235,0.5863970588235294,0.64,0.64
7,0.7236538461538461,0.6433118833118834,0.5924495924495925,0.62,0.62
8,0.625909090909091,0.5672967032967032,0.4945054945054945,0.54,0.54
9,0.6647916666666667,0.6368770453482936,0.5558672276764843,0.62,0.62
0,0.46713725490196084,0.5063354037267082,0.3788819875776398,0.56,0.56
1,0.5704665825977302,0.5521318681318682,0.4945054945054946,0.54,0.54
2,0.6475073560319461,0.630021978021978,0.5824175824175823,0.62,0.62
3,0.526,0.5045332459875532,0.44317065181788406,0.49,0.49
4,0.6740636626705251,0.6509375,0.609375,0.64,0.64
5,0.6343039049235993,0.6193627613674079,0.568536342515765,0.61,0.61
6,0.63375,0.5860592112145622,0.5501621508525997,0.57,0.57
7,0.5610196708149338,0.5184951660361495,0.47456914670029415,0.5,0.5
8,0.6282142857142857,0.5455375851897062,0.5219204557013529,0.53,0.53
9,0.6652305181558547,0.5739285714285713,0.5535714285714285,0.56,0.56
0,0.5468179646440516,0.5614624697336562,0.47699757869249393,0.595,0.595
1,0.5379464285714286,0.5133565621370499,0.47207264280435013,0.5,0.5
2,0.5798288204170557,0.56451238202791,0.5213895835013848,0.555,0.555
3,0.6911068211068212,0.5751682692307692,0.5693108974358974,0.57,0.57
4,0.7121750663129973,0.36587500000000006,0.40625,0.43,0.43
5,0.7508028111907015,0.5180796252927401,0.531615925058548,0.535,0.535
6,0.7499702380952381,0.5513984962406014,0.5588972431077694,0.56,0.56
7,0.7603788563963421,0.693879453031499,0.67915255532072,0.685,0.685
8,0.798076923076923,0.7573918456271397,0.7406369955389563,0.75,0.75
9,0.7928811524609845,0.7379802955665025,0.7229064039408868,0.73,0.73
0,0.5795374467729817,0.5980632631347846,0.47928101374135185,0.63,0.63
1,0.5970348386671283,0.4902214761554438,0.4614499798805841,0.47,0.47
2,0.6774621279153241,0.5502927826703108,0.5282923372811014,0.534,0.534
3,0.8261964573268922,0.7711079598845056,0.7437255471459568,0.76,0.76
4,0.8952494501117096,0.8816009116809117,0.860968660968661,0.878,0.878
5,0.9222514518002322,0.9175133998949028,0.9014713610089333,0.916,0.916
6,0.9564981572481573,0.9561770760777029,0.9467920439594459,0.956,0.956
7,0.972662857142857,0.9721667341157426,0.9662754620261702,0.972,0.972
8,0.9705286907971472,0.9701498906594707,0.963794526697916,0.97,0.97
9,0.9880869901710395,0.9880244779018941,0.9854298203011171,0.988,0.988
0,0.5994744888429099,0.5961238856092732,0.5053229438997324,0.593,0.593
1,0.6807561954575402,0.6298381978334244,0.5806558370228074,0.611,0.611
2,0.875502725051682,0.8553843641114983,0.8298671602787457,0.85,0.85
3,0.9238169372263333,0.9226364254492472,0.9052938319572608,0.922,0.922
4,0.9640863167833817,0.9640384996377722,0.955645578603427,0.964,0.964
5,0.9831495618943366,0.9830449929320506,0.9791216092572328,0.983,0.983
6,0.991012089043965,0.9910048287132682,0.9888995097283464,0.991,0.991
7,0.9950078113064349,0.9950026826184823,0.9938330609601924,0.995,0.995
8,1.0,1.0,1.0,1.0,1.0
9,0.99499705502403,0.9949972992382246,0.9938197671041036,0.995,0.995
