epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
None,0.5476,0.6294252873563217,0.42528735632183906,0.74,0.74
None,0.5329,0.6160693641618498,0.42196531791907516,0.73,0.73
None,0.525625,0.6094202898550725,0.42028985507246375,0.725,0.725
None,0.5012639999999999,0.58696018735363,0.414519906323185,0.708,0.708
None,0.535824,0.6187344110854504,0.4226327944572748,0.732,0.732
