epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.6447319516710596,0.6517274258572964,0.5654465956202013,0.6617325267087141,0.6617325267087141
1,0.8720939788894598,0.865835003540721,0.8404134147120317,0.8631741536877333,0.8631741536877333
2,0.9259200237034835,0.9238898975924568,0.908529299608952,0.9230274166559402,0.9230274166559402
3,0.9575461566012928,0.9570972205562893,0.9480828476160568,0.9568799073239799,0.9568799073239799
4,0.9770376985472371,0.9768970371110391,0.9719783993097937,0.9768309949800489,0.9768309949800489
0,0.6432544873271343,0.6386723118396436,0.5655788086589394,0.6347020208521045,0.6347020208521045
1,0.6366253552572354,0.6208196463282352,0.5542690982745461,0.6101171321920453,0.6101171321920453
0,0.6432544873271343,0.6386723118396436,0.5655788086589394,0.6347020208521045,0.6347020208521045
1,0.6366253552572354,0.6208196463282352,0.5542690982745461,0.6101171321920453,0.6101171321920453
2,0.5943379364596504,0.5224832504817293,0.4792229570845419,0.4994207748745012,0.4994207748745012
3,0.6341445912366157,0.6034908174512287,0.54479349791625,0.58733427725576,0.58733427725576
4,0.8053451782014179,0.8064631588639941,0.7628225054652926,0.8079546917235165,0.8079546917235165
5,0.9257365353778663,0.9243479068882512,0.9088358547833939,0.9236710001287167,0.9236710001287167
6,0.9545263461846291,0.954222623873928,0.9445313779171753,0.9540481400437637,0.9540481400437637
7,0.9712280000071037,0.9711939565569299,0.9649919678443407,0.9711674604196164,0.9711674604196164
8,0.9821211505365118,0.9821142746994004,0.9782505327092943,0.9821083794568155,0.9821083794568155
9,0.9880309674942492,0.9880301376474006,0.9854405177532336,0.9880293474063586,0.9880293474063586
