epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.7579904471755079,0.7477303554996477,0.701415072794835,0.7417943107221007,0.7417943107221007
1,0.8826568095189697,0.875413592803795,0.8521887860490505,0.8726991890848244,0.8726991890848244
2,0.9166800739589788,0.9123150645749707,0.8953626413799518,0.9107993306731883,0.9107993306731883
3,0.9447148457397692,0.9433797740576997,0.9318013369598022,0.942849787617454,0.942849787617454
4,0.9599165616444758,0.9592162136266928,0.9507376900279259,0.9589393744368645,0.9589393744368645
5,0.9728708306949322,0.9725746986651336,0.9667883214595059,0.9724546273651693,0.9724546273651693
6,0.9800240302457417,0.9799568753697967,0.9756640380905262,0.9799201956493757,0.9799201956493757
7,0.98539491775945,0.9853493123355778,0.9822067355746675,0.9853262968206976,0.9853262968206976
8,0.9897343995322521,0.989713469720599,0.9875004122820636,0.9897026644355773,0.9897026644355773
9,0.990818980686303,0.9907529007595907,0.9887767957792881,0.9907323979920196,0.9907323979920196
