epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.5391445040647689,0.5243666872688437,0.5244282106312466,0.5353793691389599,0.5353793691389599
1,0.8058660108841027,0.8006439655774393,0.8006541072435376,0.8013640238704177,0.8013640238704177
2,0.9217465436079914,0.9215611024611732,0.9215617295436572,0.9215686274509803,0.9215686274509803
3,0.9620259332106611,0.9616292434243153,0.9616296896137382,0.9616368286445013,0.9616368286445013
4,0.979539641943734,0.979539641943734,0.9795396270735097,0.979539641943734,0.979539641943734
5,0.9863654566248647,0.986359741468857,0.9863597513823399,0.9863597612958227,0.9863597612958227
6,0.9906921406530487,0.9906219542043099,0.9906218996776572,0.9906223358908781,0.9906223358908781
7,0.9974438976631157,0.9974424515254025,0.9974424478078383,0.9974424552429667,0.9974424552429667
8,0.9974438976631157,0.9974424515254025,0.9974424478078383,0.9974424552429667,0.9974424552429667
9,0.9991489349362935,0.9991474838418009,0.9991474826026128,0.9991474850809889,0.9991474850809889
