epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.565356898549609,0.5369547743828943,0.5370325004082965,0.5549872122762148,0.5549872122762148
1,0.8414939196680629,0.8414239269962774,0.8414228897378198,0.8414322250639387,0.8414322250639387
2,0.9285694001317264,0.9283818761602017,0.9283824487137741,0.928388746803069,0.928388746803069
3,0.9548180971800191,0.9548167092924126,0.9548167092924127,0.9548167092924126,0.9548167092924126
4,0.9735845435874796,0.9735719222661664,0.9735719606809965,0.9735720375106565,0.9735720375106565
5,0.9812446717817562,0.9812446717817562,0.9812446581507173,0.9812446717817562,0.9812446717817562
0,0.565356898549609,0.5369547743828943,0.5370325004082965,0.5549872122762148,0.5549872122762148
1,0.8414939196680629,0.8414239269962774,0.8414228897378198,0.8414322250639387,0.8414322250639387
2,0.9285694001317264,0.9283818761602017,0.9283824487137741,0.928388746803069,0.928388746803069
3,0.9548180971800191,0.9548167092924126,0.9548167092924127,0.9548167092924126,0.9548167092924126
4,0.9735845435874796,0.9735719222661664,0.9735719606809965,0.9735720375106565,0.9735720375106565
5,0.9812446717817562,0.9812446717817562,0.9812446581507173,0.9812446717817562,0.9812446717817562
6,0.9914805412483326,0.9914748136341122,0.9914747950462237,0.9914748508098892,0.9914748508098892
7,0.9948849104859335,0.9948849104859335,0.9948849067683774,0.9948849104859335,0.9948849104859335
8,0.9982949701619779,0.9982949701619779,0.9982949689227925,0.9982949701619779,0.9982949701619779
9,0.9957388727734484,0.9957374254049446,0.9957374254049446,0.9957374254049446,0.9957374254049446
