epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.48627677558688787,0.4826800181317005,0.4826405373564734,0.48678601875532823,0.48678601875532823
1,0.5650900562961206,0.5583778404840318,0.558340605648699,0.5626598465473146,0.5626598465473146
2,0.7006053374567917,0.6960981735999666,0.6960813865312852,0.6973572037510657,0.6973572037510657
0,0.48627677558688787,0.4826800181317005,0.4826405373564734,0.48678601875532823,0.48678601875532823
1,0.5650900562961206,0.5583778404840318,0.558340605648699,0.5626598465473146,0.5626598465473146
2,0.7006053374567917,0.6960981735999666,0.6960813865312852,0.6973572037510657,0.6973572037510657
3,0.7877243130622743,0.7877234766084122,0.7877231680505842,0.7877237851662404,0.7877237851662404
4,0.8593438269723606,0.8593338115562879,0.8593334026206598,0.8593350383631714,0.8593350383631714
5,0.9003513305427481,0.9002505347879594,0.9002511147532644,0.9002557544757033,0.9002557544757033
6,0.9197766856904642,0.9189757511460583,0.9189771644079738,0.9190110826939472,0.9190110826939472
7,0.9387455862955966,0.9386140182291539,0.9386135274689491,0.9386189258312021,0.9386189258312021
8,0.9583352402191508,0.9582245829453848,0.9582248258368371,0.9582267689684569,0.9582267689684569
9,0.9693314716154318,0.9693091952500061,0.9693092621664049,0.969309462915601,0.969309462915601
