epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.5967746114479128,0.5877745133316394,0.49278901978517353,0.580068143100511,0.580068143100511
1,0.8210657098356321,0.8158334904333738,0.7730755173189383,0.8126064735945485,0.8126064735945485
2,0.8910694753825934,0.8835748638170908,0.8577575612812551,0.8807495741056218,0.8807495741056218
3,0.9231933051878014,0.9222139118891018,0.9030518454689072,0.9216354344122658,0.9216354344122658
4,0.9469115718548521,0.9459356504461371,0.9326817974934865,0.9454855195911414,0.9454855195911414
0,0.5967746114479128,0.5877745133316394,0.49278901978517353,0.580068143100511,0.580068143100511
1,0.8210657098356321,0.8158334904333738,0.7730755173189383,0.8126064735945485,0.8126064735945485
2,0.8910694753825934,0.8835748638170908,0.8577575612812551,0.8807495741056218,0.8807495741056218
3,0.9231933051878014,0.9222139118891018,0.9030518454689072,0.9216354344122658,0.9216354344122658
4,0.9469115718548521,0.9459356504461371,0.9326817974934865,0.9454855195911414,0.9454855195911414
5,0.9710391822827938,0.9710391822827938,0.9636259586504534,0.9710391822827938,0.9710391822827938
6,0.9812606473594548,0.9812606473594548,0.9764638555973522,0.9812606473594548,0.9812606473594548
7,0.9880572086822875,0.9880516554025749,0.9849641393442623,0.9880749574105622,0.9880749574105622
8,0.9906297749861614,0.9906073724767555,0.9881745449617279,0.9906303236797275,0.9906303236797275
9,0.9906230474222043,0.9906257854784568,0.9882205388049967,0.9906303236797275,0.9906303236797275
